area_cm2,diameter_cm,perimeter_cm,circularity,estimated_volume_cm3,mean_hue,mean_saturation,mean_value,fruit_id,juice_ml
82.39976204640095,16.788011504382624,42.595621626551555,0.5706974084473568,2477.4015031308463,104.46249003826742,39.69489456717618,159.77422226689546,CAL_002,5.7
94.18411659726354,17.62593487995427,43.98150637673169,0.6118533366581816,2867.1809739501828,99.02268428626186,13.534582540011687,168.40296969354222,CAL_006,5.8
43.75401546698394,12.481114085127668,31.156299631770064,0.5664166829614048,1018.025557523085,100.83981860144956,21.145105343429027,180.41285716213847,CAL_007,5.5
53.972932778108266,12.764517435213415,32.91670539030215,0.6259694818928397,1088.959743021497,85.25465396408235,13.391874726237408,127.840308804205,CAL_013,5.6
19.790600832837598,12.563466141863566,28.408172246886462,0.30816425233625994,1038.3100158465759,81.15800053208785,10.518726536403678,112.3213515031482,CAL_014,5.7
29.30785246876859,9.446810094321647,23.648658845482803,0.658537981685548,441.4222064619428,79.65782642815462,10.434915588466104,125.2156266977886,CAL_015,5.5
110.44616299821534,17.62593487995427,45.31024158582455,0.6760327586953687,2867.1809739501828,92.18427655422359,10.669726147841565,163.93087216658446,CAL_016,5.6
113.26977989292088,17.62593487995427,44.8101799313615,0.7088764441077031,2867.1809739501828,72.17631095982809,8.723549434518674,144.76649255175082,CAL_017,5.6
110.75698988697204,16.966658429401676,44.85083750689902,0.6918945248793446,2557.334706366138,107.92193865004437,71.35603930331769,175.0767729795037,CAL_025,5.2
41.77007733491969,11.117074361661585,29.888847979103648,0.587566181377465,719.3995374692943,106.78618174622245,75.47063479723522,184.09941057571345,CAL_027,5.6
46.52647233789411,12.511653248856707,31.288354018839396,0.5972340437638418,1025.5166633886365,106.21381771084643,102.10461690834751,174.23507377403052,CAL_049,4.5
1.0517549077929804,1.5425792787133195,4.151838910288927,0.7667317043204046,1.921945649008594,73.110027100271,125.59186991869919,69.92032520325203,CAL_055,4.2
0.8649613325401546,1.32289244488972,3.7044451062272237,0.7920639178695222,1.212194281377083,61.631821170282706,120.17159763313609,77.38593030900724,CAL_056,4.1
0.9565734681737061,1.4735470283322218,3.9769225004242688,0.760035607169697,1.675292426285993,65.93932183224271,97.39202855443189,76.52349791790601,CAL_057,4.3
1.0124925639500297,1.4712008964724657,4.155305632730809,0.7368782888286245,1.6673031278640678,92.82273494653911,118.05571187394484,58.49859313449634,CAL_060,4.0
1.066627007733492,1.5160593172399008,4.180413859646495,0.7669797224751196,1.8245140149359829,77.87920897915554,116.6825227151256,74.60502405130946,CAL_061,4.4
1.1234384295062463,1.5021350209305926,4.120812639957521,0.8313681864948107,1.7747023998448463,67.16709118695874,125.55781966377992,78.0697911360163,CAL_064,4.4
1.1635930993456276,1.585370691811166,4.2898109715159345,0.7945746214080515,2.0863688893052363,80.5980343980344,110.37788697788697,68.22260442260442,CAL_067,4.2
